tower,site_id,match_basis,primary,primary_reason,excluded_reason,tower_lon,tower_lat,lon_index,lat_index,distance_m,utc_offset_hours,utc_offset_source,utc_offset_separation,shortwave_lag_steps,resolution_minutes,record_steps,doi,site_version,igbp,source_file,comment
CA-SCC,2045,pool_input_list,True,,,-121.2992,61.3079,6924,6516,452.24404115088277,-7.0,recovered from SW_IN_POT,9.072140420124455,0,30,70128,https://doi.org/10.17190/AMF/2469440,3-6,ENF,AMF_CA-SCC_FLUXNET_FULLSET_HH_2013-2016_3-6.csv,
CA-SMC,1743,pool_input_list,True,,,-123.2522,63.1534,6689,6738,130.5749461119111,-7.0,recovered from SW_IN_POT,8.741143952229734,1,30,17520,https://doi.org/10.17190/AMF/2571111,3-7,ENF,AMF_CA-SMC_FLUXNET_FULLSET_HH_2018-2018_3-7.csv,"measured shortwave sits 30 minutes from SW_IN_POT, within the check's tolerance of one half-hour step"
CA-TP1,4955,named_in_pool,True,,,-80.5595,42.6609,11812,4279,303.16618081639666,-5.0,recovered from SW_IN_POT,11.043764988415973,0,30,210432,https://doi.org/10.17190/AMF/2006962,5-7,ENF,AMF_CA-TP1_FLUXNET_FULLSET_HH_2002-2023_5-7.csv,
CA-TP3,4943,named_in_pool,True,,,-80.3483,42.7068,11838,4284,355.33750125938053,-5.0,recovered from SW_IN_POT,11.0391903924232,0,30,105264,https://doi.org/10.17190/AMF/1881566,4-6,ENF,AMF_CA-TP3_FLUXNET_FULLSET_HH_2002-2017_4-6.csv,
CA-TPD,4958,named_in_pool,True,,,-80.5577,42.6353,11813,4276,378.67175336211267,-5.0,recovered from SW_IN_POT,11.044338769937438,0,30,210384,https://doi.org/10.17190/AMF/1881567,5-7,DBF,AMF_CA-TPD_FLUXNET_FULLSET_HH_2012-2023_5-7.csv,
CR-Fsc,,,False,,no pool site: no site names the tower and its cell holds no pool point,-85.4732,10.4189,11223,410,,-6.0,recovered from SW_IN_POT,11.922939512654594,0,30,70128,https://doi.org/10.17190/AMF/2571109,3-7,CRO,AMF_CR-Fsc_FLUXNET_FULLSET_HH_2015-2018_3-7.csv,
US-A32,5963,pool_input_list,True,,,-97.8198,36.8193,9741,3578,193.87042191213706,-6.0,recovered from SW_IN_POT,11.230089157323023,0,30,52608,https://doi.org/10.17190/AMF/1881568,5-7,GRA,AMF_US-A32_FLUXNET_FULLSET_HH_2015-2017_5-7.csv,
US-A37,6044,pool_input_list,True,,,-97.928,36.3106,9728,3517,235.85983919559774,-6.0,recovered from SW_IN_POT,11.22020790477112,0,30,17568,https://doi.org/10.17190/AMF/2571154,3-7,CVM,AMF_US-A37_FLUXNET_FULLSET_HH_2024-2024_3-7.csv,
US-A39,,,False,,no pool site: no site names the tower and its cell holds no pool point,-96.069,36.3776,9951,3525,,-6.0,recovered from SW_IN_POT,11.339181381405169,0,30,17568,https://doi.org/10.17190/AMF/2571116,3-7,CRO,AMF_US-A39_FLUXNET_FULLSET_HH_2024-2024_3-7.csv,
US-A74,5964,pool_input_list,True,,,-97.5489,36.8085,9774,3577,521.9343731311866,-6.0,recovered from SW_IN_POT,11.211838992502772,0,30,35088,https://doi.org/10.17190/AMF/2006963,3-5,CRO,AMF_US-A74_FLUXNET_FULLSET_HH_2016-2017_3-5.csv,
US-ALQ,4298,pool_input_list,True,,,-89.6067,46.0308,10727,4683,266.76429150309554,-6.0,recovered from SW_IN_POT,10.769110415137458,0,30,157776,https://doi.org/10.17190/AMF/2006964,4-6,WET,AMF_US-ALQ_FLUXNET_FULLSET_HH_2015-2023_4-6.csv,
US-AR1,6030,named_in_pool,True,,,-99.42,36.4267,9549,3531,284.3668759665042,-6.0,recovered from SW_IN_POT,11.320458952814136,0,30,17616,https://doi.org/10.17190/AMF/2006965,5-7,GRA,AMF_US-AR1_FLUXNET_FULLSET_HH_2009-2012_5-7.csv,
US-AR2,5987,named_in_pool,True,,,-99.5975,36.6358,9528,3556,240.54910549606976,-6.0,recovered from SW_IN_POT,11.324024800382777,0,30,17616,https://doi.org/10.17190/AMF/2006966,5-7,GRA,AMF_US-AR2_FLUXNET_FULLSET_HH_2009-2012_5-7.csv,
US-ARM,5997,named_in_pool,True,,,-97.4888,36.6058,9781,3552,215.38125832966307,-6.0,recovered from SW_IN_POT,11.206641949989423,0,30,228000,https://doi.org/10.17190/AMF/1854366,5-7,CRO,AMF_US-ARM_FLUXNET_FULLSET_HH_2003-2024_5-7.csv,
US-ASH,6066,pool_input_list,True,,,-120.201,36.1697,7055,3500,311.06508649057014,-7.0,recovered from SW_IN_POT,11.174031008289237,0,30,17568,https://doi.org/10.17190/AMF/2469443,4-7,DBF,AMF_US-ASH_FLUXNET_FULLSET_HH_2016-2016_4-7.csv,
US-ASM,6065,pool_input_list,True,,,-120.2026,36.1777,7055,3501,215.4819292796555,-7.0,recovered from SW_IN_POT,11.175532513753637,0,30,17568,https://doi.org/10.17190/AMF/2469444,4-7,DBF,AMF_US-ASM_FLUXNET_FULLSET_HH_2016-2016_4-7.csv,
US-Akn,6496,named_in_pool,True,,,-81.5653,33.3825,11692,3165,452.59295598127966,-5.0,recovered from SW_IN_POT,11.467544578587537,0,30,157872,https://doi.org/10.17190/AMF/2469442,3-6,MF,AMF_US-Akn_FLUXNET_FULLSET_HH_2011-2022_3-6.csv,
US-BRG,5546,pool_input_list,True,,,-86.5406,39.2167,11095,3866,531.6144286412122,-5.0,recovered from SW_IN_POT,11.256458577545121,0,30,87696,https://doi.org/10.17190/AMF/2006970,3-5,GRA,AMF_US-BRG_FLUXNET_FULLSET_HH_2016-2020_3-5.csv,
US-BZB,1473,pool_input_list,True,"matched pool_input_list, ahead of same_cell; also at this site: US-BZS",,-148.3208,64.6955,3681,6923,37.2139692465581,-9.0,recovered from SW_IN_POT,8.2724580263072,0,30,210480,https://doi.org/10.17190/AMF/1881569,5-7,WET,AMF_US-BZB_FLUXNET_FULLSET_HH_2011-2024_5-7.csv,
US-BZF,1467,pool_input_list,True,,,-148.3121,64.7013,3682,6924,319.4411426576534,-9.0,recovered from SW_IN_POT,8.271139920396907,0,30,210480,https://doi.org/10.17190/AMF/1881570,5-7,WET,AMF_US-BZF_FLUXNET_FULLSET_HH_2011-2024_5-7.csv,
US-BZS,1473,same_cell,False,not primary: US-BZB is,,-148.3235,64.6963,3681,6923,136.86265106107308,-9.0,recovered from SW_IN_POT,8.27264720460366,0,30,192960,https://doi.org/10.17190/AMF/1881572,5-7,ENF,AMF_US-BZS_FLUXNET_FULLSET_HH_2010-2024_5-7.csv,
US-BZo,1472,pool_input_list,True,,,-148.33,64.6936,3680,6923,251.57852206425153,-9.0,recovered from SW_IN_POT,8.273552972637463,0,30,122736,https://doi.org/10.17190/AMF/1881571,5-7,WET,AMF_US-BZo_FLUXNET_FULLSET_HH_2018-2024_5-7.csv,
US-Bar,4705,named_in_pool,True,"matched named_in_pool, ahead of same_cell; also at this site: US-xBR",,-71.2881,44.0646,12925,4447,238.25298519350767,-5.0,recovered from SW_IN_POT,10.997554110423907,0,30,210432,https://doi.org/10.17190/AMF/2006969,5-7,DBF,AMF_US-Bar_FLUXNET_FULLSET_HH_2004-2023_5-7.csv,
US-Bi1,5741,pool_input_list,True,,,-121.4993,38.0992,6900,3731,481.6934981454459,-8.0,recovered from SW_IN_POT,11.170662251438232,0,30,157824,https://doi.org/10.17190/AMF/1871134,4-7,CRO,AMF_US-Bi1_FLUXNET_FULLSET_HH_2016-2024_4-7.csv,
US-Bi2,5736,pool_input_list,True,,,-121.5351,38.1091,6895,3733,432.6026515248526,-8.0,recovered from SW_IN_POT,11.173042182336667,0,30,87648,https://doi.org/10.17190/AMF/1871135,3-5,CRO,AMF_US-Bi2_FLUXNET_FULLSET_HH_2017-2021_3-5.csv,
US-CAK,1429,same_cell,False,not primary: US-NGC is,,-163.7002,64.8618,1835,6943,202.97926156195092,-9.0,recovered from SW_IN_POT,8.074198211743342,0,30,17568,https://doi.org/10.17190/AMF/2571153,3-7,GRA,AMF_US-CAK_FLUXNET_FULLSET_HH_2024-2024_3-7.csv,
US-CF1,4169,pool_input_list,True,,,-117.0821,46.7815,7430,4773,342.2195695746491,-8.0,recovered from SW_IN_POT,10.72668592886439,-1,30,87648,https://doi.org/10.17190/AMF/1832158,5-7,CRO,AMF_US-CF1_FLUXNET_FULLSET_HH_2017-2021_5-7.csv,"measured shortwave sits -30 minutes from SW_IN_POT, within the check's tolerance of one half-hour step"
US-CF2,4164,pool_input_list,True,,,-117.0908,46.784,7429,4774,463.2951141972225,-8.0,recovered from SW_IN_POT,10.728955349938117,0,30,70128,https://doi.org/10.17190/AMF/1881573,5-7,CRO,AMF_US-CF2_FLUXNET_FULLSET_HH_2017-2020_5-7.csv,
US-CF3,4172,pool_input_list,True,"matched pool_input_list, ahead of same_cell; also at this site: US-CF4",,-117.1261,46.7551,7424,4770,255.6650724280842,-8.0,recovered from SW_IN_POT,10.70828106853999,-1,30,87648,https://doi.org/10.17190/AMF/1881574,5-7,CRO,AMF_US-CF3_FLUXNET_FULLSET_HH_2017-2021_5-7.csv,"measured shortwave sits -30 minutes from SW_IN_POT, within the check's tolerance of one half-hour step"
US-CF4,4172,same_cell,False,not primary: US-CF3 is,,-117.1285,46.7518,7424,4770,268.14382009403624,-8.0,recovered from SW_IN_POT,10.707923372558007,-1,30,87648,https://doi.org/10.17190/AMF/1881575,5-7,CRO,AMF_US-CF4_FLUXNET_FULLSET_HH_2017-2021_5-7.csv,"measured shortwave sits -30 minutes from SW_IN_POT, within the check's tolerance of one half-hour step"
US-CGG,5777,pool_input_list,True,,,-121.9761,37.938,6842,3712,274.68942112252785,-8.0,recovered from SW_IN_POT,11.17814313421108,0,30,105216,https://doi.org/10.17190/AMF/2469446,4-7,GRA,AMF_US-CGG_FLUXNET_FULLSET_HH_2019-2024_4-7.csv,
US-CRK,6868,pool_input_list,True,,,-95.3415,31.4629,10039,2935,381.8781074625154,-6.0,recovered from SW_IN_POT,11.476239276696269,0,30,52608,https://doi.org/10.17190/AMF/2571140,3-7,ENF,AMF_US-CRK_FLUXNET_FULLSET_HH_2022-2024_3-7.csv,
US-CRT,5133,pool_input_list,True,,,-83.3471,41.6285,11478,4155,128.75455543455942,-5.0,recovered from SW_IN_POT,11.140234021122824,0,30,35136,https://doi.org/10.17190/AMF/2006974,5-7,CRO,AMF_US-CRT_FLUXNET_FULLSET_HH_2011-2013_5-7.csv,
US-CS1,4697,pool_input_list,True,,,-89.5379,44.1031,10735,4452,122.92124873320692,-6.0,recovered from SW_IN_POT,10.959932540313472,0,30,35040,https://doi.org/10.17190/AMF/1881576,5-7,CRO,AMF_US-CS1_FLUXNET_FULLSET_HH_2018-2019_5-7.csv,
US-CS2,4687,pool_input_list,True,,,-89.5002,44.1467,10739,4457,330.8897785204185,-6.0,recovered from SW_IN_POT,10.94791079206315,0,30,87648,https://doi.org/10.17190/AMF/1881577,5-7,ENF,AMF_US-CS2_FLUXNET_FULLSET_HH_2018-2022_5-7.csv,
US-CS3,4689,pool_input_list,True,,,-89.5727,44.1394,10731,4456,258.36505352973967,-6.0,recovered from SW_IN_POT,10.963677898508394,0,30,35088,https://doi.org/10.17190/AMF/1881578,5-7,CRO,AMF_US-CS3_FLUXNET_FULLSET_HH_2019-2020_5-7.csv,
US-CS4,4683,pool_input_list,True,,,-89.5475,44.1597,10734,4459,338.61608101694515,-6.0,recovered from SW_IN_POT,10.957316803061671,0,30,35088,https://doi.org/10.17190/AMF/1881579,5-7,CRO,AMF_US-CS4_FLUXNET_FULLSET_HH_2020-2021_5-7.csv,
US-CS5,4692,pool_input_list,True,,,-89.5377,44.1095,10735,4453,334.07628481677864,-6.0,recovered from SW_IN_POT,10.954434417939837,0,30,17520,https://doi.org/10.17190/AMF/2469447,4-7,CRO,AMF_US-CS5_FLUXNET_FULLSET_HH_2021-2021_4-7.csv,
US-CS6,4625,pool_input_list,True,,,-89.544,44.4297,10734,4491,157.22556529962966,-6.0,recovered from SW_IN_POT,10.925593690287508,0,30,35040,https://doi.org/10.17190/AMF/2469448,4-7,CRO,AMF_US-CS6_FLUXNET_FULLSET_HH_2022-2023_4-7.csv,
US-CS8,4624,pool_input_list,True,,,-89.5364,44.4338,10735,4492,420.71709906788766,-6.0,recovered from SW_IN_POT,10.927880840110483,0,30,17520,https://doi.org/10.17190/AMF/2469449,4-7,CRO,AMF_US-CS8_FLUXNET_FULLSET_HH_2023-2023_4-7.csv,
US-CdM,5847,pool_input_list,True,,,-109.7471,37.5241,8310,3662,379.89178005815205,-6.0,recovered from SW_IN_POT,11.293670053751763,0,30,105216,https://doi.org/10.17190/AMF/2469445,4-7,WSA,AMF_US-CdM_FLUXNET_FULLSET_HH_2019-2024_4-7.csv,
US-Cst,6554,pool_input_list,True,,,-91.9204,33.0442,10449,3125,186.1866622658519,-5.0,recovered from SW_IN_POT,11.377786052392388,0,30,87648,https://doi.org/10.17190/AMF/2469450,4-7,ENF,AMF_US-Cst_FLUXNET_FULLSET_HH_2013-2017_4-7.csv,
US-DFC,4841,pool_input_list,True,"matched pool_input_list, ahead of same_cell; also at this site: US-DFK",,-89.7117,43.3448,10714,4361,132.0000900999081,-6.0,recovered from SW_IN_POT,11.017893594085104,0,30,122736,https://doi.org/10.17190/AMF/2006975,5-7,CRO,AMF_US-DFC_FLUXNET_FULLSET_HH_2018-2024_5-7.csv,
US-DFK,4841,same_cell,False,not primary: US-DFC is,,-89.7154,43.3453,10714,4361,241.8363162425518,-6.0,recovered from SW_IN_POT,11.013315334250239,0,30,52608,https://doi.org/10.17190/AMF/2571122,3-7,CRO,AMF_US-DFK_FLUXNET_FULLSET_HH_2018-2020_3-7.csv,
US-DPW,7303,pool_input_list,True,,,-81.4361,28.0521,11707,2526,267.88639914865877,-5.0,recovered from SW_IN_POT,11.574445379236513,0,30,70128,https://doi.org/10.17190/AMF/2571121,3-7,WET,AMF_US-DPW_FLUXNET_FULLSET_HH_2013-2016_3-7.csv,
US-DS1,5729,pool_input_list,True,,,-121.539,38.1335,6895,3736,463.8080990191827,-8.0,recovered from SW_IN_POT,11.176517513327152,0,30,35040,https://doi.org/10.17190/AMF/2571132,3-7,CRO,AMF_US-DS1_FLUXNET_FULLSET_HH_2018-2019_3-7.csv,
US-DS2,5730,pool_input_list,True,,,-121.514,38.1375,6898,3736,131.0986478309658,-8.0,recovered from SW_IN_POT,11.169269811027096,0,30,70128,https://doi.org/10.17190/AMF/2571148,3-7,CRO,AMF_US-DS2_FLUXNET_FULLSET_HH_2020-2023_3-7.csv,
US-DS3,5732,pool_input_list,True,,,-121.549,38.1235,6894,3734,405.63808736630216,-8.0,recovered from SW_IN_POT,11.173513147497955,0,30,70128,https://doi.org/10.17190/AMF/2229376,5-7,CRO,AMF_US-DS3_FLUXNET_FULLSET_HH_2021-2024_5-7.csv,
US-Dmg,5764,pool_input_list,True,,,-121.6691,38.0015,6879,3720,333.2927853018155,-8.0,recovered from SW_IN_POT,11.148654818122175,0,30,70128,https://doi.org/10.17190/AMF/2469451,4-7,WET,AMF_US-Dmg_FLUXNET_FULLSET_HH_2021-2024_4-7.csv,
US-EA5,7205,pool_input_list,True,,,-99.9576,29.3584,9485,2683,564.4404751591075,-6.0,recovered from SW_IN_POT,11.531671833667424,0,30,35040,https://doi.org/10.17190/AMF/2571138,3-7,CSH,AMF_US-EA5_FLUXNET_FULLSET_HH_2021-2022_3-7.csv,
US-EA6,7185,pool_input_list,True,,,-99.9588,29.6561,9484,2718,417.2134028993503,-6.0,recovered from SW_IN_POT,11.511954295541502,0,30,17520,https://doi.org/10.17190/AMF/2571142,3-7,WSA,AMF_US-EA6_FLUXNET_FULLSET_HH_2023-2023_3-7.csv,
US-EDN,,,False,,no pool site: no site names the tower and its cell holds no pool point,-122.114,37.6156,6826,3673,,-8.0,recovered from SW_IN_POT,11.223005346534448,1,30,35040,https://doi.org/10.17190/AMF/1832159,3-5,WET,AMF_US-EDN_FLUXNET_FULLSET_HH_2018-2019_3-5.csv,"measured shortwave sits 30 minutes from SW_IN_POT, within the check's tolerance of one half-hour step"
US-EML,1620,named_in_pool,True,,,-149.2536,63.8784,3569,6825,89.7728078341696,-9.0,recovered from SW_IN_POT,8.414619010429814,0,30,157872,https://doi.org/10.17190/AMF/2007170,4-6,OSH,AMF_US-EML_FLUXNET_FULLSET_HH_2008-2020_4-6.csv,
US-Elm,7409,named_in_pool,True,,,-80.7826,25.5519,11786,2226,426.7813387036824,-5.0,recovered from SW_IN_POT,11.631135181148762,0,30,210480,https://doi.org/10.17190/AMF/2007169,4-7,WET,AMF_US-Elm_FLUXNET_FULLSET_HH_2008-2024_4-7.csv,
US-Esm,7413,named_in_pool,True,,,-80.5946,25.4379,11808,2212,131.6479905331656,-5.0,recovered from SW_IN_POT,11.663621828051689,0,30,192960,https://doi.org/10.17190/AMF/2007171,4-7,WET,AMF_US-Esm_FLUXNET_FULLSET_HH_2008-2024_4-7.csv,
US-EvM,7418,pool_input_list,True,,,-80.381,25.3539,11834,2202,186.5101072952349,-5.0,recovered from SW_IN_POT,11.67923430397816,0,30,70128,https://doi.org/10.17190/AMF/2571136,3-7,WET,AMF_US-EvM_FLUXNET_FULLSET_HH_2020-2023_3-7.csv,
US-Fcr,1314,pool_input_list,True,,,-148.9348,65.3968,3607,7007,164.81900954325704,-9.0,recovered from SW_IN_POT,8.11187052065248,0,30,52656,https://doi.org/10.17190/AMF/2007172,5-7,OSH,AMF_US-Fcr_FLUXNET_FULLSET_HH_2011-2014_5-7.csv,
US-GL1,,,False,,no pool site: no site names the tower and its cell holds no pool point,-87.2251,47.1835,11012,4822,,-5.0,recovered from SW_IN_POT,10.76969701849844,0,30,192912,https://doi.org/10.17190/AMF/2574639,3-7,WAT,AMF_US-GL1_FLUXNET_FULLSET_HH_2008-2022_3-7.csv,
US-GLE,5182,named_in_pool,True,,,-106.2399,41.3665,8731,4123,487.6587402872462,-7.0,recovered from SW_IN_POT,11.094140089537133,-1,30,157872,https://doi.org/10.17190/AMF/1871136,3-5,ENF,AMF_US-GLE_FLUXNET_FULLSET_HH_2005-2020_3-5.csv,"measured shortwave sits -30 minutes from SW_IN_POT, within the check's tolerance of one half-hour step"
US-HB1,6503,pool_input_list,True,,,-79.1957,33.3455,11976,3161,39.21679157454661,-5.0,recovered from SW_IN_POT,11.40205479086102,0,30,70128,https://doi.org/10.17190/AMF/1832160,5-7,WET,AMF_US-HB1_FLUXNET_FULLSET_HH_2019-2022_5-7.csv,
US-HB2,6504,pool_input_list,True,,,-79.244,33.3242,11970,3158,411.2260041507159,-5.0,recovered from SW_IN_POT,11.42817662383846,0,30,17520,https://doi.org/10.17190/AMF/2229377,5-7,ENF,AMF_US-HB2_FLUXNET_FULLSET_HH_2019-2019_5-7.csv,
US-HB3,6502,pool_input_list,True,,,-79.2322,33.3482,11972,3161,385.3950890609055,-5.0,recovered from SW_IN_POT,11.414093977402073,0,30,70128,https://doi.org/10.17190/AMF/2229378,5-7,ENF,AMF_US-HB3_FLUXNET_FULLSET_HH_2019-2022_5-7.csv,
US-HB4,6524,pool_input_list,True,,,-79.2975,33.2015,11964,3144,334.67627251877053,-5.0,recovered from SW_IN_POT,11.42892530195041,0,30,87696,https://doi.org/10.17190/AMF/2571130,3-7,WET,AMF_US-HB4_FLUXNET_FULLSET_HH_2020-2024_3-7.csv,
US-HWB,5259,pool_input_list,True,,,-77.8488,40.8608,12138,4063,313.01049933689944,-5.0,recovered from SW_IN_POT,11.13604731257094,0,30,70128,https://doi.org/10.17190/AMF/1881582,3-5,CVM,AMF_US-HWB_FLUXNET_FULLSET_HH_2015-2018_3-5.csv,
US-Ha1,4977,named_in_pool,True,"matched named_in_pool, ahead of same_cell; also at this site: US-xHA",,-72.1715,42.5378,12819,4264,63.872264308815694,-5.0,recovered from SW_IN_POT,10.207523537138323,0,60,78936,https://doi.org/10.17190/AMF/1871137,3-5,DBF,AMF_US-Ha1_FLUXNET_FULLSET_HR_1991-2020_3-5.csv,
US-Hn2,4183,pool_input_list,True,"matched pool_input_list, ahead of same_cell; also at this site: US-Hn3",,-119.4641,46.6889,7144,4762,197.6720666087815,-8.0,recovered from SW_IN_POT,10.6415153284072,0,30,70128,https://doi.org/10.17190/AMF/1902832,4-6,GRA,AMF_US-Hn2_FLUXNET_FULLSET_HH_2015-2018_4-6.csv,
US-Hn3,4183,same_cell,False,not primary: US-Hn2 is,,-119.4614,46.6878,7144,4762,90.32328235870754,-8.0,recovered from SW_IN_POT,10.642750079837159,0,30,35040,https://doi.org/10.17190/AMF/1881580,5-7,OSH,AMF_US-Hn3_FLUXNET_FULLSET_HH_2017-2018_5-7.csv,
US-Ho1,4480,named_in_pool,True,,,-68.7402,45.2041,13231,4584,211.58883947421015,-5.0,recovered from SW_IN_POT,10.907088834713036,0,30,210432,https://doi.org/10.17190/AMF/2469453,3-6,ENF,AMF_US-Ho1_FLUXNET_FULLSET_HH_1996-2023_3-6.csv,
US-Ho2,4478,named_in_pool,True,,,-68.747,45.2091,13230,4585,389.04437638326016,-5.0,recovered from SW_IN_POT,10.909102666255256,0,30,210432,https://doi.org/10.17190/AMF/1881581,4-6,ENF,AMF_US-Ho2_FLUXNET_FULLSET_HH_1999-2023_4-6.csv,
US-Hsm,5713,pool_input_list,True,,,-122.0212,38.2368,6837,3748,84.23787700019308,-8.0,recovered from SW_IN_POT,11.1773438783446,0,30,70128,https://doi.org/10.17190/AMF/2571131,3-7,WET,AMF_US-Hsm_FLUXNET_FULLSET_HH_2021-2024_3-7.csv,
US-ICh,707,named_in_pool,True,,,-149.2958,68.6068,3564,7392,292.7039141730598,-9.0,recovered from SW_IN_POT,6.175322109977333,0,30,228000,https://doi.org/10.17190/AMF/2007175,5-7,OSH,AMF_US-ICh_FLUXNET_FULLSET_HH_2007-2024_5-7.csv,
US-ICs,705,named_in_pool,True,,,-149.311,68.6058,3562,7392,191.44560584057143,-9.0,recovered from SW_IN_POT,6.173309872228026,0,30,228000,https://doi.org/10.17190/AMF/1871138,5-7,WET,AMF_US-ICs_FLUXNET_FULLSET_HH_2007-2024_5-7.csv,
US-ICt,706,named_in_pool,True,,,-149.3041,68.6063,3563,7392,237.11895230990888,-9.0,recovered from SW_IN_POT,6.17382644718783,0,30,210432,https://doi.org/10.17190/AMF/1881583,4-6,OSH,AMF_US-ICt_FLUXNET_FULLSET_HH_2007-2023_4-6.csv,
US-Jo1,6647,pool_input_list,True,,,-106.635,32.582,8683,3069,392.55700841295294,-7.0,recovered from SW_IN_POT,11.436551333486316,0,30,192912,https://doi.org/10.17190/AMF/1902833,5-7,OSH,AMF_US-Jo1_FLUXNET_FULLSET_HH_2010-2022_5-7.csv,
